# Eu(fod)3 coordinate mapping
# coordinate unit: cÅ
# metric: r_factor
# offset: 300
# step: 10
# valid positions only
# x	y	z	score
-26	-362	-304	724.34347943
-26	-362	-294	783.39735223
-26	-362	-284	846.06601954
-26	-362	-274	911.61756691
-26	-362	86	1277.92532987
-26	-352	-304	757.33339677
-26	-352	-294	824.87128184
-26	-342	-304	790.01250194
-26	-82	-304	90.32091954
-26	-72	-304	89.10400743
-26	-72	-294	90.67922284
-26	-62	-304	88.62302987
-26	-62	-294	90.31687285
-26	-62	-284	92.28528344
-26	-52	-304	88.49130953
-26	-52	-294	90.21911534
-26	-52	-284	92.17154109
-26	-52	-274	94.40036705
-26	-52	-264	96.96614953
-26	-52	-64	263.54226248
-26	-52	-54	268.84939392
-26	-52	46	455.55918303
-26	-42	-304	88.49768006
-26	-42	-294	90.20125403
-26	-42	-284	92.07913407
-26	-42	-274	94.16609048
-26	-42	-264	96.50265617
-26	-42	-254	99.13561980
-26	-42	-244	102.11838801
-26	-42	-74	246.45366915
-26	-42	-64	255.89926346
-26	-42	-54	264.92618792
-26	-42	-44	274.29177383
-26	-42	-34	284.92317337
-26	-42	-24	297.66128534
-26	-42	-14	313.06188293
-26	-42	-4	331.38614138
-26	-42	6	352.77872148
-26	-42	16	377.50356355
-26	-42	26	406.11651578
-26	-42	36	439.58372153
-26	-42	46	479.48157252
-26	-42	56	528.42725347
-26	-32	-304	88.53373674
-26	-32	-294	90.17873502
-26	-32	-284	91.95362464
-26	-32	-274	93.88207297
-26	-32	-264	95.99214739
-26	-32	-254	98.31708254
-26	-32	-244	100.89613492
-26	-32	-234	103.77548587
-26	-32	-104	198.63578339
-26	-32	-94	211.12376878
-26	-32	-84	223.73300451
-26	-32	-74	236.27814354
-26	-32	-64	248.72789527
-26	-32	-54	261.27730522
-26	-32	-44	274.36577791
-26	-32	-34	288.61554097
-26	-32	-24	304.70351822
-26	-32	-14	323.22262898
-26	-32	-4	344.59938016
-26	-32	6	369.09840732
-26	-32	16	396.89548988
-26	-32	26	428.18814863
