# Eu(fod)3 coordinate mapping
# coordinate unit: cÅ
# metric: r_factor
# offset: 300
# step: 10
# valid positions only
# x	y	z	score
-493	-338	-472	42.79016832
-493	-338	-462	40.70799098
-493	-338	-452	38.61842317
-493	-338	-442	36.52404789
-493	-338	-432	34.42823006
-493	-338	-422	32.33537692
-493	-338	-412	30.25129923
-493	-338	-402	28.18371722
-493	-338	-392	26.14297447
-493	-338	-382	24.14304776
-493	-338	-372	22.20296599
-493	-338	-362	20.34875636
-493	-338	-352	18.61595968
-493	-338	-342	17.05245072
-493	-338	-332	15.72049172
-493	-338	-322	14.69541528
-493	-338	-312	14.05681723
-493	-338	-302	13.86985336
-493	-338	-292	14.16273877
-493	-338	-282	14.91562834
-493	-338	-272	16.07013972
-493	-338	-262	17.55095068
-493	-338	-252	19.28439773
-493	-338	-242	21.20763179
-493	-338	-232	23.27038502
-493	-338	-222	25.43330045
-493	-338	-212	27.66539704
-493	-338	-202	29.94176418
-493	-338	-192	32.24177991
-493	-338	-182	34.54783431
-493	-338	-172	36.84445510
-493	-338	-162	39.11773069
-493	-338	-152	41.35494619
-493	-338	-142	43.54436903
-493	-338	-132	45.67513797
-493	-338	-122	47.73722065
-493	-338	-112	49.72141392
-493	-338	-102	51.61936655
-493	-338	-92	53.42360898
-493	-338	-82	55.12757816
-493	-338	-72	56.72562897
-493	-338	-62	58.21302692
-493	-338	-52	59.58591932
-493	-338	-42	60.84128489
-493	-338	-32	61.97686384
-493	-338	-22	62.99107226
-493	-338	-12	63.88290564
-493	-338	-2	64.65183750
-493	-338	8	65.29771891
-493	-338	18	65.82068508
-493	-338	28	66.22107420
-493	-338	38	66.49936377
-493	-338	48	66.65612862
-493	-338	58	66.69202408
-493	-338	68	66.60779750
-493	-338	78	66.40433056
-493	-338	88	66.08271440
-493	-338	98	65.64435965
-493	-338	108	65.09114297
-493	-338	118	64.42559220
-493	-328	-472	42.45972016
-493	-328	-462	40.36743732
-493	-328	-452	38.26710977
-493	-328	-442	36.16126264
-493	-328	-432	34.05321305
-493	-328	-422	31.94734195
-493	-328	-412	29.84947468
-493	-328	-402	27.76741884
-493	-328	-392	25.71173165
-493	-328	-382	23.69681800
-493	-328	-372	21.74249377
-493	-328	-362	19.87616007
-493	-328	-352	18.13565239
-493	-328	-342	16.57246832
-493	-328	-332	15.25408675
-493	-328	-322	14.26218646
-493	-328	-312	13.68178596
-493	-328	-302	13.57899065
-493	-328	-292	13.97617750
-493	-328	-282	14.84307817
-493	-328	-272	16.11150101
-493	-328	-262	17.70028995
-493	-328	-252	19.53387360
-493	-328	-242	21.54983217
-493	-328	-232	23.69924783
-493	-328	-222	25.94423559
-493	-328	-212	28.25507042
-493	-328	-202	30.60778442
-493	-328	-192	32.98238935
-493	-328	-182	35.36163968
-493	-328	-172	37.73020557
-493	-328	-162	40.07414176
-493	-328	-152	42.38056563
-493	-328	-142	44.63748133
-493	-328	-132	46.83370411
-493	-328	-122	48.95885052
-493	-328	-112	51.00336833
-493	-328	-102	52.95858539
-493	-328	-92	54.81676121
-493	-328	-82	56.57112874
-493	-328	-72	58.21591721
-493	-328	-62	59.74635034
-493	-328	-52	61.15861726
-493	-328	-42	62.44981645
-493	-328	-32	63.61787551
-493	-328	-22	64.66145138
-493	-328	-12	65.57981719
-493	-328	-2	66.37274250
-493	-328	8	67.04037392
-493	-328	18	67.58312299
-493	-328	28	68.00156734
-493	-328	38	68.29637060
-493	-328	48	68.46822563
-493	-328	58	68.51782462
-493	-328	68	68.44585901
-493	-328	78	68.25305167
-493	-328	88	67.94022297
-493	-328	98	67.50839261
-493	-328	108	66.95891848
-493	-328	118	66.29367428
-493	-318	-472	42.17476069
-493	-318	-462	40.07346564
-493	-318	-452	37.96346679
-493	-318	-442	35.84721366
-493	-318	-432	33.72795098
-493	-318	-422	31.60999963
-493	-318	-412	29.49915299
-493	-318	-402	27.40324262
-493	-318	-392	25.33295318
-493	-318	-382	23.30300253
-493	-318	-372	21.33384369
-493	-318	-362	19.45406683
